Country,Item,Year,Unit,Value
China,Population - Est. & Proj.,2020,1000 persons,1456928.486
"China, Hong Kong SAR",Population - Est. & Proj.,2020,1000 persons,7500.958
"China, Macao SAR",Population - Est. & Proj.,2020,1000 persons,676.283
"China, mainland",Population - Est. & Proj.,2020,1000 persons,1424929.781
"China, Taiwan Province of",Population - Est. & Proj.,2020,1000 persons,23821.464
Colombia,Population - Est. & Proj.,2020,1000 persons,50930.662
Comoros,Population - Est. & Proj.,2020,1000 persons,806.166
Congo Brazzaville,Population - Est. & Proj.,2020,1000 persons,5702.174
Cook Islands,Population - Est. & Proj.,2020,1000 persons,17.029
Costa Rica,Population - Est. & Proj.,2020,1000 persons,5123.105
Côte d'Ivoire,Population - Est. & Proj.,2020,1000 persons,26811.79
Croatia,Population - Est. & Proj.,2020,1000 persons,4096.869
Cuba,Population - Est. & Proj.,2020,1000 persons,11300.698
Curaçao,Population - Est. & Proj.,2020,1000 persons,189.288
Cyprus,Population - Est. & Proj.,2020,1000 persons,1237.537
Czech Republic,Population - Est. & Proj.,2020,1000 persons,10530.953
Democratic People's Republic of Korea,Population - Est. & Proj.,2020,1000 persons,25867.467
Democratic Republic of the Congo,Population - Est. & Proj.,2020,1000 persons,92853.164
Denmark,Population - Est. & Proj.,2020,1000 persons,5825.641
Djibouti,Population - Est. & Proj.,2020,1000 persons,1090.156
Dominica,Population - Est. & Proj.,2020,1000 persons,71.995
Dominican Republic,Population - Est. & Proj.,2020,1000 persons,10999.664
Ecuador,Population - Est. & Proj.,2020,1000 persons,17588.595
Egypt,Population - Est. & Proj.,2020,1000 persons,107465.134
El Salvador,Population - Est. & Proj.,2020,1000 persons,6292.731
Equatorial Guinea,Population - Est. & Proj.,2020,1000 persons,1596.049
Eritrea,Population - Est. & Proj.,2020,1000 persons,3555.868
Estonia,Population - Est. & Proj.,2020,1000 persons,1329.444
Eswatini,Population - Est. & Proj.,2020,1000 persons,1180.655
Ethiopia,Population - Est. & Proj.,2020,1000 persons,117190.911
Falkland Islands (Malvinas),Population - Est. & Proj.,2020,1000 persons,3.747
Faroe Islands,Population - Est. & Proj.,2020,1000 persons,52.415
Fiji,Population - Est. & Proj.,2020,1000 persons,920.422
Finland,Population - Est. & Proj.,2020,1000 persons,5529.468
France,Population - Est. & Proj.,2020,1000 persons,64480.053
French Guyana,Population - Est. & Proj.,2020,1000 persons,290.969
French Polynesia,Population - Est. & Proj.,2020,1000 persons,301.92
Gabon,Population - Est. & Proj.,2020,1000 persons,2292.573
Gambia,Population - Est. & Proj.,2020,1000 persons,2573.995
Georgia,Population - Est. & Proj.,2020,1000 persons,3765.912
Germany,Population - Est. & Proj.,2020,1000 persons,83328.988
Ghana,Population - Est. & Proj.,2020,1000 persons,32180.401
Gibraltar,Population - Est. & Proj.,2020,1000 persons,32.709
Greece,Population - Est. & Proj.,2020,1000 persons,10512.232
